ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,GOOD_REPUTATION
5008804,M,1,1,0,9,5,4,3,1,7,1,1,1,0,0,UNKOWN,2.0,0,C,0
5008805,M,1,1,0,9,5,4,3,1,7,1,1,1,0,0,UNKOWN,2.0,0,C,0
5008806,M,1,1,0,1,5,2,3,5,1,5,1,0,0,0,Security staff,2.0,0,C,1
5008808,F,0,1,0,8,3,2,1,5,2,2,1,0,1,1,Sales staff,1.0,0,0,1
5008809,F,0,1,0,8,3,2,1,5,2,2,1,0,1,1,Sales staff,1.0,-22,X,1
5008810,F,0,1,0,8,3,2,1,5,2,2,1,0,1,1,Sales staff,1.0,0,C,1
5008811,F,0,1,0,8,3,2,1,5,2,2,1,0,1,1,Sales staff,1.0,0,C,1
5008812,F,0,1,0,8,3,4,2,5,0,8,1,0,0,0,UNKOWN,1.0,-4,0,1
5008813,F,0,1,0,8,3,4,2,5,0,8,1,0,0,0,UNKOWN,1.0,0,0,1
5008814,F,0,1,0,8,3,4,2,5,0,8,1,0,0,0,UNKOWN,1.0,-1,0,1
5008815,M,1,1,0,8,5,4,3,5,4,6,1,1,1,1,Accountants,2.0,0,0,1
5112956,M,1,1,0,8,5,4,3,5,4,6,1,1,1,1,Accountants,2.0,0,X,1
5008819,M,1,1,0,2,3,2,3,5,3,5,1,0,0,0,Laborers,2.0,-10,X,1
5008820,M,1,1,0,2,3,2,3,5,3,5,1,0,0,0,Laborers,2.0,-8,X,1
5008821,M,1,1,0,2,3,2,3,5,3,5,1,0,0,0,Laborers,2.0,0,X,1
5008822,M,1,1,0,2,3,2,3,5,3,5,1,0,0,0,Laborers,2.0,-14,X,1
5008823,M,1,1,0,2,3,2,3,5,3,5,1,0,0,0,Laborers,2.0,-3,X,1
5008824,M,1,1,0,2,3,2,3,5,3,5,1,0,0,0,Laborers,2.0,0,0,1
5008825,F,1,0,0,2,5,3,3,5,8,5,1,0,0,0,Accountants,2.0,0,0,0
5008826,F,1,0,0,2,5,3,3,5,8,5,1,0,0,0,Accountants,2.0,-1,C,0
5008830,F,0,1,0,4,5,2,3,5,9,5,1,0,1,0,Laborers,2.0,0,C,0
5008831,F,0,1,0,4,5,2,3,5,9,5,1,0,1,0,Laborers,2.0,0,C,0
5008832,F,0,1,0,4,5,2,3,5,9,5,1,0,1,0,Laborers,2.0,0,C,0
5008834,F,0,1,1,1,5,2,1,5,8,4,1,0,0,0,UNKOWN,2.0,0,C,1
5008835,F,0,1,1,1,5,2,1,5,8,4,1,0,0,0,UNKOWN,2.0,-28,X,1
5008836,M,1,1,3,8,5,2,3,5,7,5,1,0,0,0,Laborers,5.0,-8,C,1
5008837,M,1,1,3,8,5,2,3,5,7,5,1,0,0,0,Laborers,5.0,-2,C,1
5008838,M,0,1,1,9,3,4,3,5,7,4,1,0,0,0,Managers,3.0,-9,X,1
5008839,M,0,1,1,9,3,4,3,5,7,4,1,0,0,0,Managers,3.0,0,C,1
5008840,M,0,1,1,9,3,4,3,5,7,4,1,0,0,0,Managers,3.0,0,C,1
5008841,M,0,1,1,9,3,4,3,5,7,4,1,0,0,0,Managers,3.0,0,0,1
5008842,M,0,1,1,9,3,4,3,5,7,4,1,0,0,0,Managers,3.0,0,0,1
5008843,M,0,1,1,9,3,4,3,5,7,4,1,0,0,0,Managers,3.0,0,C,1
5008844,M,1,1,0,1,3,2,3,5,1,1,1,0,1,0,Drivers,2.0,-11,C,1
5008846,M,1,1,0,1,3,2,3,5,1,1,1,0,1,0,Drivers,2.0,0,0,1
5008847,M,1,1,0,1,3,2,3,5,1,1,1,0,1,0,Drivers,2.0,-14,C,1
5008849,M,1,1,0,1,3,2,3,5,1,1,1,0,1,0,Drivers,2.0,-40,C,1
5008850,M,1,1,0,1,3,2,3,5,1,1,1,0,1,0,Drivers,2.0,0,0,1
5008851,M,1,1,0,1,3,2,3,5,1,1,1,0,1,0,Drivers,2.0,0,0,1
5008852,M,1,1,0,1,3,2,3,5,1,1,1,0,1,0,Drivers,2.0,0,0,1
5008853,M,1,1,0,1,3,2,3,5,1,1,1,0,1,0,Drivers,2.0,-24,C,1
5008854,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,-38,0,1
5008855,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,C,1
5008856,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,0,1
5008857,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,X,1
5008858,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,C,1
5008859,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,0,1
5008860,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,0,1
5008861,F,1,1,2,2,5,2,3,5,4,2,1,0,0,0,Laborers,4.0,0,0,1
