,Unnamed: 0,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,SAFE
0,172330,5037048,M,1,1,0,2,5,2,3,0,4,2,1,0,0,0,Core staff,2.0,0,0,1
1,207479,5044630,F,1,0,1,2,3,4,1,5,9,4,1,0,0,0,Accountants,2.0,0,X,1
2,404389,5079079,F,0,1,2,5,3,2,3,5,7,0,1,0,0,0,Laborers,4.0,-16,0,1
3,565138,5112872,F,1,1,0,9,3,4,1,5,1,4,1,0,0,1,Managers,1.0,0,C,1
4,552145,5105858,F,0,0,0,8,5,2,2,5,4,7,1,0,1,0,,1.0,0,C,1
5,533152,5100411,F,1,1,0,2,5,2,3,5,6,1,1,1,0,0,Accountants,2.0,0,1,0
6,67418,5022817,M,1,1,0,6,5,2,3,5,3,4,1,0,0,0,Core staff,2.0,0,X,1
7,16893,5009811,F,0,0,1,6,5,2,3,5,8,2,1,1,1,0,Sales staff,3.0,0,0,1
8,580289,5113922,F,0,0,0,0,3,2,1,4,0,8,1,0,0,0,,1.0,-37,C,1
9,45507,5021541,F,1,0,1,8,5,4,3,5,9,4,1,0,0,0,,3.0,0,0,1
10,313334,5061509,F,0,1,0,6,3,2,3,5,1,8,1,0,0,0,,2.0,0,C,1
11,115926,5028439,M,1,1,0,8,5,4,3,5,4,2,1,0,0,0,Managers,2.0,-1,X,1
12,501618,5096280,F,0,0,0,9,3,4,2,5,3,1,1,1,1,0,,1.0,0,0,1
13,89681,5024159,F,0,1,1,6,5,2,3,5,9,5,1,0,0,0,Sales staff,3.0,0,0,1
14,471483,5091895,M,0,0,0,4,3,4,1,5,9,4,1,0,0,0,Sales staff,1.0,0,C,1
15,19613,5009969,F,1,1,0,5,5,2,3,5,1,1,1,0,0,0,Medicine staff,2.0,0,C,1
16,230743,5046544,F,0,1,1,4,5,2,3,5,5,6,1,0,0,0,High skill tech staff,3.0,-36,0,1
17,554432,5105991,M,0,0,0,0,5,2,3,4,6,2,1,1,1,0,Laborers,2.0,0,C,1
18,468305,5091715,F,1,1,1,4,5,4,3,5,9,3,1,1,0,0,Sales staff,3.0,0,C,1
19,267256,5053194,F,0,1,0,8,5,4,3,5,5,1,1,1,1,0,Accountants,2.0,-30,X,1
20,451440,5090578,F,1,1,0,4,5,2,3,5,4,4,1,0,0,0,Sales staff,2.0,0,C,1
21,109244,5025950,F,0,1,0,2,5,2,3,5,6,0,1,0,0,0,Core staff,2.0,-40,X,1
22,152927,5033969,F,0,1,3,2,3,2,3,5,5,3,1,0,0,0,Sales staff,5.0,0,0,1
